SKU,ListID,MPN,SalesPrice,QuantityOnHand
MG-M100L12DC,80000699-1394746522,M100L12DC-AR,112.5,0
LRS-100-24,800010B8-1531775768,LRS-100-24,29.99,0
LPV-100-12,80000D1D-1492104715,LPV-100-12,38.5,1
LPV-100-24,80000DCF-1501188785,LPV-100-24,38.5,0
WE-FML-R10-MCT,80001659-1616862408,FML-R10-MCT,56.75,0
ECTSU-AMA4C5A,8000129A-1554217798,SR-3001,29.99,0
ECTSK-AM3&4C8A,80001727-1633987169,EV4-X,28.5,9
MG-M150L12DC,80000553-1384371546,M150L12DC-AR,119.75,0
MG-M150L24DC,800014D5-1588278394,M150L24DC-AR,119.75,0
ECNA-PLUG2-SC,800014EC-1590444327,LEV-101-EP,3,28
ECB-18-2-STR-WH,80000D80-1496157923,RT-8003501,0.2,1566
ECB-18-4-STR-WH,800009FE-1443466192,RT-8004501,0.4,1214
WE-LPN1X440W50KD,80001477-1576865170,LPNG-1X4-4KLM-50K-D,64.99,0
MG-M200L12DC,8000069A-1394746608,M200L12DC,132.5,0
LRS-200-12,80001063-1526071090,LRS-200-12,52.99,0
LRS-200-24,80001066-1526071311,LRS-200-24,52.99,2
MG-M200L24DC,80000555-1384371753,M200L24DC,132.5,0
XLG-200-24-A,80001A36-1721322830,XLG-200-24-A,96.25,5
ECLDL-2R3WS60K,80000A46-1447264729,AOE-CL102-3W,13.5,2
ECLDL-2R3WS30K,80000A45-1447264603,AOE-CL102-3W,13.5,-2
ECLDL-2R3WW60K,80000A48-1447264823,AOE-CL102-3W,13.5,0
ECLDL-2R3WW30K,80000A47-1447264782,AOE-CL102-3W,13.5,1
ECB-22-2-STR-WH,800002C7-1363730112,RT-8005501,0.14,562
ECB-22-4-STR-WH,8000063A-1392418289,RT-8002501,0.18,1046
ECLDL-2S3WS60K,80000A41-1447262898,AOE-CL-100-3W,5.99,74
ECLDL-2S3WS30K,80000A42-1447263006,AOE-CL-100-3W,5.99,7
WE-LPN2X240W50KD,8000147C-1577801678,LPNG-2X2-4KLM-50K-D,46.75,11
SAT-65-571,8000179B-1647973758,65-571,98.25,0
WE-LPNG-SRFC-2X2,800014B7-1582916988,LPNG-SRFC-2X2,58.5,10
WE-LPN2X450W50KD,80001560-1595973274,LPNG-2X4-5KLM-50K-D,82.75,0
